CommunityName;BeachName;BeachCountrycode;BeachRegionalSea;BeachLength_m;BeachLocation;BeachType;EventDate;EventType;NatRef;lon_x1;lat_y1;lon_x2;lat_y2;;G1;G3;G4;G5;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G40;G41;G42;G43;G44;G45;G46;G47;G49;G50;G52;G53;G54;G56;G57;G58;G59;G60;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G76;G77;G79;G80;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G95;G96;G97;G98;G99;G100;G101;G102;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G137;G138;G139;G140;G141;G142;G143;G144;G145;G147;G148;G150;G151;G152;G153;G154;G155;G156;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G171;G172;G174;G175;G176;G177;G178;G179;G180;G181;G182;G184;G186;G187;G188;G189;G190;G191;G193;G194;G195;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G210;G211;G213;CLASSE
gBqsPxAZ;obzor detski lager;BG;Black Sea;2805;Near river mouth;Sandy;20160312;Cleanup;;278.889.785.578.106;42.807.348.962.966.500;2.789.656.751.455.100;4.278.272.613.171.360;;;9;2;;17;29;5;;;;;;;;;;1;53;12;16;62;;8;;3;2;5;6;6;31;3;7;;1;;;;;;;;;2;2;2;;;1;;;;;;;;;;;;;;7;;;54;5;13;3;;3;;;;;;24;;;;2;;1;;;1;3;;2;5;1;;;1;3;;2;;;1;2;1;;;3;3;;;2;;;2;;;11;4;;;;5;;2;;;;;;;;;;3;;;13;;;;;;;;;;;;;;;;;8;1;2;;7;;;;;;4;;POLUIDO
gBqsPxAZ;shkorpilovzi;BG;Black Sea;2829;Near river mouth;Sandy;20160311;Cleanup;;2.789.612.338.208.460;4.297.028.162.083.030;27.901.882.187.622.000;42.945.173.332.256.100;;;2;16;;8;37;11;;1;;;;;;1;1;;59;5;2;20;5;3;19;1;;10;5;3;17;;13;;;;;;2;;;;;2;5;;;1;1;;;;;;;1;1;;;;;;2;;1;15;;22;;5;;;;;;;5;;;;;;;;;;;;1;2;;1;;1;;;;;;;1;2;1;;;;;;1;;;;;;1;;;;;;2;1;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;1;5;1;;7;;;;;;;;POLUIDO
Marnoba;Dunas da Costa da Fragata Santa Maria;CV;Unknown;100;Rural;Sandy;20161210;Cleanup;;-2.290.222.222;16.613.611.110.000.000;-2.290.122.222;16.613.611.110.000.000;;;136;;;11;;3;9;;;;8;;;;;;128;;;;;;;;;18;;;;;10;;;;;;;;;;1;;2383;40;;;;;;4;;;;;;70;0;;;;;;;;;53;33;;;;;;;;;;;;;;0;;;;;;;9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;20;7;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;41;;;POLUIDO
Marnoba;Dunas da Costa da Fragata Santa Maria;CV;Unknown;100;Rural;Sandy;20161006;Cleanup;;-2.290.222.222;16.613.611.110.000.000;-2.290.122.222;16.613.611.110.000.000;;;84;;;15;;;18;;;;8;;;;;;135;;;;;;1;;;4;;;;;20;;;;;;;;;;;;3694;98;;;;;;;;;;;;51;4;;;;;;4;;;47;7;;;;;;;;;;;;;;0;;;;1;;;18;;;;;;;;;;;3;;;;;;;;1;;;;;;;;;;0;;;;;;;;;;11;9;;;7;;;;;;;;;;;;;;;;;;;;;1;;;;;;;151;;;POLUIDO
Marnoba;Dunas da Costa da Fragata Santa Maria;CV;Unknown;100;Rural;Sandy;20160706;Cleanup;;-2.290.222.222;16.613.611.110.000.000;-2.290.122.222;16.613.611.110.000.000;;;212;;;25;;9;21;;;;21;;;;;;155;;;;;;;;;3;;;;;;;;;;;;;;;;;3155;310;;;;2;;1;;;;;;72;11;;;;;;11;;;49;4;;;;;;;;;;;;;;0;;;1;3;;;23;2;;;;;;;;;;;;;;;;;;8;;;;;;;;;;0;;;;;;;;;;16;;3;2;;;;;;;;;;;;;2;;;;;;;;;8;;;;;;;278;;;POLUIDO
Plastic Change;Boserup;DK;North-east Atlantic Ocean;100;Rural;Pebbels;20161015;Monitoring;;12.043.826.426.495.000;5.567.119.801.366.520;12.043.661.288.298.000;5.567.030.766.531.130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;LIMPO
Plastic Change;Boserup;DK;North-east Atlantic Ocean;100;Rural;Pebbels;20160711;Monitoring;;12.043.826.426.495.000;5.567.119.801.366.520;12.043.661.288.298.000;5.567.030.766.531.130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;1;;;;3;;;;LIMPO
Plastic Change;Boserup;DK;North-east Atlantic Ocean;100;Rural;Pebbels;20160417;Monitoring;;12.043.826.426.495.000;5.567.119.801.366.520;12.043.661.288.298.000;5.567.030.766.531.130;;;;3;;1;1;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;1;1;;;;;;;;;1;;;;;;;;6;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;3;;;;LIMPO
Plastic Change;GundsOlille;DK;North-east Atlantic Ocean;100;Rural;Rocky;20160428;Monitoring;;12.107.316.000.060.600;55.710.286.000.228.000;12.108.889.831.370.300;5.571.042.217.739.300;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;3;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;17;;;;;;;;LIMPO
gBqsPxAZ;hh;DK;North-east Atlantic Ocean;111;;;20161018;Cleanup;;949.302.546.992.834;57.203.363.580.968.500;9.494.532.955.264.500;5.720.395.203.449.340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Plastic Change;Jyllinge;DK;North-east Atlantic Ocean;100;Rural;Rocky;20160420;Monitoring;;12.105.310.999.872.300;5.573.471.700.003.650;12.106.279.796.075.300;5.573.400.132.585.580;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;2;;34;;;57;;;;1;;;;LIMPO
gBqsPxAZ;Karrebæksminde;DK;Baltic Sea;35;Urban;Sandy;20160705;Cleanup;;11.722.440.030.051.300;55.206.194.390.275.100;1.172.196.045.725.030;552.063.530.809.667;;;2;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;LIMPO
Plastic Change;Kornerup Å;DK;North-east Atlantic Ocean;100;Near river mouth;Other (mixed);20160427;Monitoring;;12.011.989.000.050.200;55.654.912.000.174.200;1.201.053.200.003.300;5.565.455.099.975.870;;;6;7;;4;1;1;3;;1;;;;;;;;;;;;3;;3;;;3;;;2;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;3;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;6;;3;;;;5;;;;1;;;;;;;10;;1;;;;;;;;;;;;LIMPO
Plastic Change;Lejre Vig I;DK;North-east Atlantic Ocean;97;Rural;Other (mixed);20160415;Monitoring;;11.965.765.000.431.400;5.567.573.499.987.540;11.964.229.999.698.100;556.758.010.002.405;;;1;;;1;;;;;;;;;;;;;2;1;;1;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;5;;;;;1;;;;;;;1;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;LIMPO
