CommunityName;BeachName;BeachCountrycode;BeachRegionalSea;BeachLength_m;BeachLocation;BeachType;EventDate;EventType;NatRef;lon_x1;lat_y1;lon_x2;lat_y2;;G1;G3;G4;G5;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G40;G41;G42;G43;G44;G45;G46;G47;G49;G50;G52;G53;G54;G56;G57;G58;G59;G60;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G76;G77;G79;G80;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G95;G96;G97;G98;G99;G100;G101;G102;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G137;G138;G139;G140;G141;G142;G143;G144;G145;G147;G148;G150;G151;G152;G153;G154;G155;G156;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G171;G172;G174;G175;G176;G177;G178;G179;G180;G181;G182;G184;G186;G187;G188;G189;G190;G191;G193;G194;G195;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G210;G211;G213;CLASSE
gBqsPxAZ;plastic prOve;DK;Baltic Sea;84;Rural;Sandy;20160810;Cleanup;;11.649.945.012.849.100;5.517.335.564.636.630;11.649.460.046.563.100;55.174.061.064.636.500;;;17;23;;13;11;;6;;;;;;;;;;16;;;;;;32;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Aarhus University - Denmark;RisO Roskilde bredning;DK;North-east Atlantic Ocean;100;Rural;Sandy;20161005;Monitoring;;12.083.660.175.000.300;5.569.224.469.838.410;12.084.006.600.408.200;5.569.312.055.604.340;;;;3;;;;;;;;;;;;;;;1;;1;;;;;;;5;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;2;1;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Aarhus University - Denmark;RisO Roskilde bredning;DK;North-east Atlantic Ocean;100;Rural;Sandy;20160704;Monitoring;;12.083.660.175.000.300;5.569.224.469.838.410;12.084.006.600.408.200;5.569.312.055.604.340;;;;1;;;;;;;;;;;;;;;1;;;;1;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;9;;;3;;;7;;2;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;LIMPO
Aarhus University - Denmark;RisO Roskilde bredning;DK;North-east Atlantic Ocean;100;Rural;Sandy;20160114;Monitoring;;12.083.660.175.000.300;5.569.224.469.838.410;12.084.006.600.408.200;5.569.312.055.604.340;;;3;1;;1;;;;;;;;;;;;;;;;;1;;;;;2;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;11;;;1;;;7;;6;;;;;3;;;;;;;1;5;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;LIMPO
Aarhus University - Denmark;RisO Roskilde bredning;DK;North-east Atlantic Ocean;100;Rural;Sandy;20160404;Monitoring;;12.083.660.175.000.300;5.569.224.469.838.410;12.084.006.600.408.200;5.569.312.055.604.340;;;1;3;;2;1;;1;;;;;;;;;;8;1;3;;;1;;;;4;1;2;1;;1;;2;;;;;;;;;;4;;;;;;;;;1;;;;;1;3;;65;;;3;;;17;;2;;;;;1;;;;;;2;9;;;;;;;;;;;;;;;1;;;;2;;;;1;;;1;;;1;;;;;;;1;5;1;;;;;;;;;4;6;;1;;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;POLUIDO
Plastic Change;Roskilde Vig Nord;DK;North-east Atlantic Ocean;100;Rural;Sandy;20160414;Monitoring;;12.056.157.000.325.500;5.566.056.599.981.700;12.055.790.999.729.300;5.566.144.379.229.480;;;1;;;2;;;1;;;;;;;;;;1;;;;2;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;3;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;LIMPO
Plastic Change;Roskilde Vig Syd;DK;North-east Atlantic Ocean;100;Rural;Pebbels;20160414;Monitoring;;12.064.630.720.365.700;5.565.605.699.979.250;1.206.613.100.031.500;55.655.750.000.074.200;;;;3;;;;;;;;;;;;;;;1;1;;;;;9;;;3;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;5;;1;;;;;;;1;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;1;;;;6;;1;;LIMPO
Plastic Change;Roskilde Vikingeskibsmuseum;DK;North-east Atlantic Ocean;57;Urban;Other (mixed);20160504;Monitoring;;12.082.076.421.798.200;5.565.111.992.604.940;12.082.812.238.135.600;5.565.141.340.020.650;;;5;9;;2;;;16;;;;;;;;1;;41;;;1;28;1;73;;;59;1;2;11;;9;;3;1;;;;;;;;1;10;;;;1;;;;;;;;;;;;;5;;;8;;;138;;32;1;;;;4;;;;;;1;3;2;;5;;1;;;;2;3;;;;;1;;1;;;;;;;3;;1;5;;1;;;3;2;1;3;12;5;1;;;1;;;;;;5;;;3;;9;3;;;;;;;;;;;2;;;;1;;17;3;;;5;;;;15;;;;POLUIDO
Plastic Change;SelsO;DK;North-east Atlantic Ocean;100;Rural;Pebbels;20160421;Monitoring;;11.995.539.000.261.800;55.732.847.999.839.100;11.996.106.999.626.000;5.573.200.700.006.790;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;LIMPO
Plastic Change;Sivholm;DK;North-east Atlantic Ocean;100;Rural;Rocky;20160415;Monitoring;;12.008.500.999.905.500;55.681.588.000.016.000;12.008.239.999.789.600;5.568.247.000.010.220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;3;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;LIMPO
Aarhus University - Denmark;Skomagerkrogen;DK;North-east Atlantic Ocean;100;Rural;Sandy;20161013;Monitoring;;12.091.032.738.368.600;55.670.067.252.968.800;1.209.031.658.705.110;55.670.871.985.700.600;;;;11;;;;;3;;1;;;;;;;;23;;2;2;4;11;6;1;1;91;;7;6;;10;;2;;2;;;;;;;;21;;;;;;;;;;;;;4;;1;;12;;;1;;;171;;9;;;;;4;;;1;;;;22;6;;2;;1;2;;;;1;;;;;;;;15;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;3;72;1;;2;;2;;;;;;;;;;;;1;;;;4;;2;;;1;11;;;;1;;5;;POLUIDO
Aarhus University - Denmark;Skomagerkrogen;DK;North-east Atlantic Ocean;100;Rural;Sandy;20160621;Monitoring;;12.091.032.738.368.600;55.670.067.252.968.800;1.209.031.658.705.110;55.670.871.985.700.600;;;2;11;;;;;1;;;1;;1;;;;;25;5;13;2;11;;3;;1;104;;3;5;2;14;;8;;;;;;;;;2;78;;1;;4;;;;;;;;;2;2;;;14;;;5;;;493;;2;;;;1;4;;1;1;;;2;34;51;;4;;;2;;;;1;;1;;;;1;1;2;1;;;;;4;;;2;;;;;;;;1;58;2;1;;;;;;;;6;30;;;3;;3;;;;;;;;;;;;;;;;2;;4;;;1;25;;;;2;;11;;POLUIDO
Aarhus University - Denmark;SOnderO Roskilde Vig;DK;North-east Atlantic Ocean;99;Rural;Pebbels;20160621;Monitoring;;12.082.155.439.407.200;5.566.975.815.073.500;12.083.747.609.823.600;5.566.976.210.132.390;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;1;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;4;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Aarhus University - Denmark;SOnderO Roskilde Vig;DK;North-east Atlantic Ocean;99;Rural;Pebbels;20161013;Monitoring;;12.082.155.439.407.200;5.566.975.815.073.500;12.083.747.609.823.600;5.566.976.210.132.390;;;2;1;;;;;;;;;;;;;;;1;;1;2;;1;1;;;5;4;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2;;;;;3;1;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;4;1;;;;;;;1;;;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;LIMPO
Aarhus University - Denmark;SOnderO Roskilde Vig;DK;North-east Atlantic Ocean;99;Rural;Pebbels;20160406;Monitoring;;12.082.155.439.407.200;5.566.975.815.073.500;12.083.747.609.823.600;5.566.976.210.132.390;;;2;2;;;;;;;;;;;;;;;4;;;2;4;;10;;;8;;;2;;;;2;;;;;;;;;;14;;;;;;;;;;;;;;;;;2;;;8;;;20;;2;;;;;2;;;;;;;14;;;;;;;;;2;;;;;;;;;;;;;;;2;;;;;;;;2;2;;;;2;;;;;;;;;;10;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;2;;POLUIDO
gBqsPxAZ;Ved Munkholmbroen;DK;North-east Atlantic Ocean;126;Rural;Sandy;20160418;Cleanup;;11.813.314.289.607.400;55.673.703.180.969.000;11.815.093.493.757.400;5.567.423.929.336.180;;;;5;;;;;;;;;;;;;;;;;1;1;1;1;9;;;3;;;;1;;;;;;;;;;;;;1;;;;;;;1;;;;;;;4;;;;;;1;;;3;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;2;;;;;;;;2;;;;LIMPO
Surfrider Foundation Europe;Mr Belkheira Mohammed Cite 20 Aout 1955 Bt /P N°:3  42002 Cherchell Algérie;DZ;Mediterranean Sea;91;;;20160319;Cleanup;;22.022.399.999.588.500;3.662.159.999.981.070;2.203.240.000.041.580;3.662.159.999.981.070;;;60;;;1000;2000;;50;;;;;;;;;;200;;;;;5;;;;40;10;4;45;40;15;;;;;;;;;;;;30;;;;5;;;10;;;;;;;;;;2;7;;;;;7;;25;;;;;;;;;;;;15;;;;;20;;;;1;;;;;;;;;;60;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;3;;30;;;;;;;;50;;;;POLUIDO
Estonian Green Movement;Dirhami I;EE;Baltic Sea;57;;;20161021;Monitoring;;2.348.964.999.989.020;59.207.240.000.198.700;23.490.649.999.972.900;59.207.240.000.198.700;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Marnoba;A Lanzada Pontevedra;ES;North-east Atlantic Ocean;100;Rural;Sandy;20160309;Cleanup;;-8.875.800.133;4.245.066.833;-8.874.800.133;4.245.066.833;;;35;;;18;;1;1;;;1;;;;;;;31;;;;;;1;;;14;;;;;22;;;;;;;;;;50;;283;105;;;;;;1;;;;;;4;3;;;;;;3;;;105;23;;;;;;;;;;;;;59;3;;;;;;;9;2;;;;;;;;;;3;;;;;;;;3;;1;;;1;;;;;0;1;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;3;;;POLUIDO
Marnoba;Aguamarga Almería;ES;Mediterranean Sea;100;Urban;Sandy;20160818;Cleanup;;-19.320.139.880.000.000;3.693.939.971.999.990;-19.310.139.880.000.000;3.693.939.971.999.990;;;2;;;1;;;;;;;;;;;;;6;;;;;;464;;;14;;;;;10;;;;;;;;;;;;2;;;;;;;;;;;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;;4;;;;1;;;4;1;;;;;;;;;;;;;;;;;;3;;1;1;;;;;;;0;;;;;;;3;;;1;;;1;;2;2;;;;;;;;;;;;;;;1;1;;;;;4;;;;;1;;;POLUIDO
Marnoba;Aguamarga Almería;ES;Mediterranean Sea;100;Urban;Sandy;20160822;Cleanup;;-19.320.139.880.000.000;3.693.939.971.999.990;-19.310.139.880.000.000;3.693.939.971.999.990;;;1;;;2;;;9;;;;;;;;;;6;;;;;;340;;;13;;;;;8;;;;;;;;;;;;2;;;;;;;;;;;;;;0;;;;;;;;;3;;;;;;;;;;;;;;;3;;;;;;;18;;;;;;;;;2;;1;;;;;;;;3;;;;;1;;;;;5;1;;;;;;2;;;3;;;12;;12;11;;8;;1;;;;;;;;;;;2;2;1;;;;1;;;;1;1;1;;POLUIDO
Surfrider Foundation Europe;AS-239 Carreño 33430 Candás Espagne;ES;North-east Atlantic Ocean;81;;;20160320;Cleanup;;-5.761.570.000.271.290;43.587.700.000.112.000;-5.760.570.000.188.560;43.587.700.000.112.000;;;25;;;;;;1;;;;;;;;;;50;;;;;;10;;;5;;;4;10;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;20;;;;;;;;;;;;75;;;;;;;;;50;;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;LIMPO
Marnoba;Barrañán A Coruña;ES;North-east Atlantic Ocean;100;Rural;Sandy;20160208;Cleanup;;-8.551.274.686;43.310.198.590.000.000;-8.550.274.686;43.310.198.590.000.000;;;;;;3;;1;1;;;;;;;;;;12;;;;;;;;;1;;;;;1;;;;;;;;;;;;10;2;;;;;;;;;;;;;22;;;;;;22;;;12;5;;;;;;;;;;;;;30;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;;;;;;;;;2;;;1;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;LIMPO
Surfrider Foundation Europe;Burumendi;ES;North-east Atlantic Ocean;21;Urban;Other (mixed);20160810;Cleanup;;-23.823.336.633.158.900;4.331.267.529.197.660;-23.821.324.388.956.300;4.331.255.090.808.830;;;654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Surfrider Foundation Europe;Burumendi;ES;North-east Atlantic Ocean;21;Urban;Other (mixed);20160111;Cleanup;;-23.823.336.633.158.900;4.331.267.529.197.660;-23.821.324.388.956.300;4.331.255.090.808.830;;;2;;;12;1;;20;;;;;;;;;;9;;;;;1;;;;41;;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;LIMPO
Marnoba;Cala Arena Almería;ES;Mediterranean Sea;100;Rural;Rocky;20160827;Cleanup;;-2.184.147.358;3.672.053.527.999.990;-21.831.473.580.000.000;3.672.053.527.999.990;;;18;;;20;;;12;;;;;;;;;;104;;;;;;284;;;104;;;;;26;;;;;;;;;;;;52;14;;;;;;4;;;;;;2;14;;;;;;10;;;222;2;;;;;;;;;;;;;;342;;;;4;;;70;;;;2;;;;;;;8;;;;;;;;24;;118;2;;18;;;;;6;1;4;;;;;;;;52;;;30;6;86;24;;;;;;;;;;;;;;;26;4;;;;;6;;;;;518;;;POLUIDO
Marnoba;Cala de Enmedio Almería;ES;Mediterranean Sea;100;Rural;Rocky;20160822;Cleanup;;-1.945.827.842;3.693.311.118.999.990;-19.448.278.420.000.000;3.693.311.118.999.990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Marnoba;Cala de Enmedio Almería;ES;Mediterranean Sea;100;Rural;Rocky;20160822;Cleanup;;-1.945.827.842;3.693.311.118.999.990;-19.448.278.420.000.000;3.693.311.118.999.990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Surfrider Foundation Europe;Cala Murgita;ES;North-east Atlantic Ocean;405;Urban;Rocky;20160205;Cleanup;;-19.480.348.468.599.300;4.333.215.577.875.870;-19.455.432.957.575.500;43.328.993.475.481.300;;;;;;;4;;3;;;;;;;;;;6;;;;;;;;;;;1;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;LIMPO
Marnoba;Cala Sorbas Almería;ES;Mediterranean Sea;100;Rural;Pebbels;20160831;Cleanup;;-1.913.058.281;3.693.674.468.999.990;-19.120.582.810.000.000;3.693.674.468.999.990;;;18;;;78;;4;34;;;4;;;;;;;70;;;;;;202;;;36;;;;;22;;;;;;;;;;;;20;10;;;;;;;;;;;;;34;;;;;;26;;;320;;;;;;;;;;;;;;;114;;;;;;;16;;;;;;;;;;;26;;;;;;;;26;;72;12;;4;;;;;4;8;;;;;;;;;38;;;64;12;32;16;;2;;;;;;;;;;;;;4;2;12;;;;;;;;2;90;;;POLUIDO
Surfrider Foundation Europe;Carretera Cartagena Los Alcázares 30710 Los Alcázares Espagne;ES;Mediterranean Sea;90;;;20160221;Cleanup;;-0.8612339996958857;3.772.129.999.972.170;-0.8602339996131866;3.772.129.999.972.170;;;40;;;6;19;;47;;;;;;;;;;77;;;;;;28;;;22;2;2;58;3;29;;;;;;;;;;;;6;;;;16;;;;;;;;;;;;;;3;;;;;35;;55;;;;;;;;;;;;;;;;;3;;;;3;;;;;1;;;;;6;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;;;;;;;;;;;;;14;;35;;;;;;;;20;;;;POLUIDO
Marnoba;Castilla Huelva;ES;North-east Atlantic Ocean;100;Rural;Sandy;20160628;Cleanup;;-6.690.494;3.707.089.599.999.990;-6.689.494;3.707.089.599.999.990;;1;5;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;1;;5;;;;;;4;0;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;5;;;;;;;;;;;4;;4;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;LIMPO
Marnoba;De Ponent Barcelona;ES;Mediterranean Sea;100;Urban;Sandy;20160507;Cleanup;;23.876.800.000.000.000;41.499.231;238.868;41.499.231;;20;1;;;15;;;;;;;;;;;;;;;;;;;145;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;6;;;;;;;;;;;;;;8;41;;;;;;;0;;;;;;;;;2;;;;;;;;;;6;;;18;;9;;;;;0;;;;;;;;;;;;;5;;;17;;;;;;;;;;;;;;;2;;4;;;;;;;;;;;;LIMPO
Marnoba;Doñana Huelva;ES;North-east Atlantic Ocean;100;Rural;Sandy;20161001;Cleanup;;-65.258.331.300.000.000;3.697.944.641;-6.524.833.129.999.990;3.697.944.641;;;13;;;8;;;35;;;;1;;;;;;91;;;;;;15;;;53;;;;;33;;;;;;;;;;;;205;33;;;;;;;;;;;;7;14;;;;;;11;;;196;;;;;;;;;;;;;;90;22;;;;1;;;33;2;;;;;;;;;;1;;;;;;;;1;;2;3;;2;;;;;9;;;;;;;;;;11;1;;2;;10;;;;;1;;;;;;;;;;;1;2;4;;;;;;;;;5;;;POLUIDO
MARNOBA;Doñana_2;ES;North-east Atlantic Ocean;79;Rural;Sandy;20161001;Monitoring;;-6.525.833.129.699.290;369.794.464.110.268;-652.638.888.861.948;3.698.000.000.002.780;;;3;16;;1;2;;38;1;;;;;;;;;53;11;1;8;5;1;19;1;1;8;25;8;3;0;30;;19;;;;1;;0;;;;183;21;2;2;;;;1;;2;;;;;1;;;4;;;1;14;1;136;1;4;;;;;;;;;;;;49;2;;;;1;;;1;;;;;;;1;;;;1;;;;;;;5;0;;;;2;2;;;;1;15;1;;;;;;;;;7;3;;3;;5;;;;;;;;;;;;;;1;;3;2;3;;;;2;;;;1;;;;POLUIDO
Marnoba;El Arco Almería;ES;Mediterranean Sea;100;Rural;Pebbels;20160831;Cleanup;;-2.060.724.974;3.680.827.713;-20.597.249.740.000.000;3.680.827.713;;;7;;;2;;;;;;;;;;;;;10;;;;;;120;;;4;;;;;5;;;;;;;;;;;;10;1;;;;;;4;;;;;;2;3;;;;;;3;;;35;;;;;;;;;;;;;;;1;;;;1;;;6;;;;;;;;;;;;;;;;;;;14;;13;;;;;;;;0;;;;;;;1;;;8;;;1;;3;8;;1;;;;;;;;;;;;;3;;;;;;5;;;;;5;;;POLUIDO
Marnoba;El Arenal Alicante/Alacant;ES;Mediterranean Sea;100;Rural;Pebbels;20160609;Cleanup;;0.190027;38.774.895;0.191027;38.774.895;;;;;;;;;1;;;;;;;;;;;;;;;;6;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Marnoba;El Cabrero Cádiz;ES;Mediterranean Sea;100;Rural;Sandy;20160728;Cleanup;;-5.255.539.957;3.631.135.584;-5.254.539.957;3.631.135.584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Marnoba;El Muntanyans Tarragona;ES;Mediterranean Sea;100;Urban;Sandy;20160507;Cleanup;;1.415.856;41.144.815;1.416.856;41.144.815;;;;;;10;;;1;;;;;;;;;;33;;;;;;178;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;0;;;;;;;;;60;;;;;;;;;;;;;;297;1;;;;;;;2;;;;;;;;;4;;1;;;;;;;;1;;;;;;;;;;121;;1;;4;;;;;;;;;15;;;2;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;LIMPO
Marnoba;El Serradal Castellón/Castelló;ES;Mediterranean Sea;100;Near river mouth;Sandy;20161017;Cleanup;;0.032275;4.000.397.099.999.990;0.033275;4.000.397.099.999.990;;;11;;;4;;;1;;;;;;;;;;7;;;;;;47;;;6;;;;;6;;;;;;;;;;;;3;5;;;;;;6;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;3;6;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;3;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;LIMPO
Marnoba;Fenals Girona;ES;Mediterranean Sea;100;Urban;Sandy;20160529;Cleanup;;28.362.289.999.999.900;4.169.462.599.999.990;2.837.229;4.169.462.599.999.990;;;;;;3;;1;1;;;;;;;;;;;;;;;;500;;;50;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;0;;;;;;;;;;;;;;;;;;;5;;8;;;1;;;;;0;;1;;;;;39;;;;;;15;;;11;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;LIMPO
Marnoba;Horcas Coloradas Melilla;ES;Mediterranean Sea;100;Urban;Sandy;20160317;Cleanup;;-29.363.889.999.999.900;35.291.110.999.999.900;-29.353.890.000.000.000;35.291.110.999.999.900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Marnoba;La Barceloneta Barcelona;ES;Mediterranean Sea;100;Urban;Sandy;20160506;Cleanup;;2.191.738;41.377.407;2.192.738;41.377.407;;10;32;;;11;;9;2;;;;;;;;;;50;;;;;;920;;;20;;;;;36;;;;;;;;;;;;;1;;;;;;;;;;;;1;5;;;;;;5;;;66;;;;;;;;;;;;;;45;6;;;;1;;;5;1;;;;;;;;;;3;;;;;;;;2;;2;4;;2;;;;;9;14;1;;1;;;13;;;;;;6;;14;26;;;;;;;;;;;;;;;;;18;;;;11;;;;;;;;POLUIDO
Marnoba;La Herradura Granada;ES;Mediterranean Sea;100;Urban;Sandy;20161110;Cleanup;;-37.411.111.110.000.000;36.733.333.329.999.900;-37.401.111.109.999.900;36.733.333.329.999.900;;;3;;;10;;;12;;;;;;;;;;19;;;;;;1818;;;31;;;;;12;;;;;;;;;;;;6;6;;;;;;3;;;;;;4;11;;;;;;7;;;50;;;;;;;;;;;;;;19;9;;;;3;;;23;20;;;;;;;;;;2;;;;;;;;11;;9;;;1;;;;;24;1;;;;;;7;;;1;;;1;1;7;;;;;;;;;;;;;;;;;1;;;;;11;;;;;6;;;POLUIDO
Marnoba;La Misericordia Málaga;ES;Mediterranean Sea;100;Near river mouth;Sandy;20160611;Cleanup;;-4.453.381;3.666.767.099.999.990;-4.452.381;3.666.767.099.999.990;;;14;;;3;;;4;;;;;;;;;;16;;;;;;301;;;54;;;;;15;;;;;;;;;;1;;5;;;;;;;1;;;;;;1;1;;;;;;;;;10;;;;;;;;;;;;;;83;47;;;;;;;2;9;;;;;;;;;;2;;;;;;;;9;;31;;;5;;;;;13;;;;;;;;;;8;;;10;;9;3;;;;;;;;;;;;;;;2;;;;;;15;;;;;12;12;;POLUIDO
